temps,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,x68,y68,x69,y69,x70,y70,x71,y71,x72,y72,x73,y73,x74,y74,x75,y75,x76,y76,x77,y77,x78,y78,x79,y79,x80,y80,x81,y81,x82,y82,x83,y83,x84,y84,x85,y85,x86,y86,x87,y87,x88,y88,x89,y89,x90,y90,x91,y91,x92,y92,x93,y93,x94,y94,x95,y95,x96,y96,x97,y97,x98,y98,x99,y99
0,6.34458,122.756,10.0799,137.327,35.1337,61.8652,99.2512,62.5783,79.4215,63.8036,47.8287,126.255,16.1003,125.394,32.9857,70.9375,2.36354,139.65,36.7515,136.211,22.3841,55.9827,40.4859,82.9056,93.5808,51.5996,39.4772,132.67,23.3151,127.738,7.77798,104.504,24.0149,92.8889,25.6676,80.7083,66.0506,110.022,6.77167,105.561,72.8636,141.018,57.8592,78.4459,6.21918,82.7799,94.9848,75.8641,9.01593,144.127,38.2439,90.5942,76.1851,68.0242,20.7092,119.257,14.6765,92.6707,33.2436,85.7951,59.8818,78.5768,41.6375,50.5374,57.0028,125.966,15.696,52.2626,39.6888,140.062,58.8595,78.6532,87.6878,55.8687,56.6309,124.131,13.0796,119.516,22.2217,99.8059,37.2516,140.714,49.3935,138.423,45.72,120.985,94.1411,132.06,29.0065,63.2404,25.5351,143.333,82.8557,80.5115,90.9844,121.727,65.1399,78.8884,21.2636,54.8124,30.4235,88.1318,51.8828,133.417,8.67331,62.644,26.4385,146.391,95.0518,143.221,84.1004,101.571,72.3328,132.672,71.151,129.238,52.4864,136.843,91.4261,128.644,21.0042,93.3307,69.281,51.5412,6.87628,98.6854,40.3634,52.8159,41.7447,117.103,29.4147,85.584,13.9939,101.283,17.9142,89.634,67.3047,146.941,58.3095,112.353,63.9089,146.401,67.2965,126.628,89.177,134.224,65.8421,104.348,69.4118,99.4864,58.0577,110.974,60.0957,68.3391,2.90615,86.8099,48.8587,123.786,67.5899,85.8435,58.4253,57.6195,94.5035,102.579,25.7878,127.196,77.0123,147.726,17.862,147.862,57.7296,135.457,57.7316,129.112,29.2168,114.726,42.7764,83.6543,85.2848,125.984,40.7994,115.536,93.8572,58.0517,7.58527,73.134,28.4699,58.8597,49.0591,69.7532,35.5123,72.4904,45.0758,77.926,86.541,94.3626,45.3229,140.977,29.2393,52.2439
0.01,6.34458,122.754,10.0799,137.325,35.1337,61.8633,99.2512,62.5764,79.4215,63.8016,47.8287,126.253,16.1003,125.392,32.9857,70.9355,2.36354,139.648,36.7515,136.209,22.3841,55.9807,40.4859,82.9037,93.5808,51.5976,39.4772,132.668,23.3151,127.736,7.77798,104.502,24.0149,92.8869,25.6676,80.7064,66.0506,110.02,6.77167,105.559,72.8636,141.016,57.8592,78.444,6.21918,82.7779,94.9848,75.8622,9.01593,144.125,38.2439,90.5922,76.1851,68.0222,20.7092,119.255,14.6765,92.6687,33.2436,85.7932,59.8818,78.5748,41.6375,50.5355,57.0028,125.964,15.696,52.2606,39.6888,140.06,58.8595,78.6512,87.6878,55.8667,56.6309,124.129,13.0796,119.514,22.2217,99.804,37.2516,140.712,49.3935,138.421,45.72,120.983,94.1411,132.058,29.0065,63.2384,25.5351,143.331,82.8557,80.5095,90.9844,121.725,65.1399,78.8864,21.2636,54.8104,30.4235,88.1298,51.8828,133.415,8.67331,62.6421,26.4385,146.389,95.0518,143.219,84.1004,101.569,72.3328,132.67,71.151,129.236,52.4864,136.841,91.4261,128.642,21.0042,93.3288,69.281,51.5392,6.87628,98.6834,40.3634,52.8139,41.7447,117.101,29.4147,85.582,13.9939,101.281,17.9142,89.632,67.3047,146.939,58.3095,112.352,63.9089,146.399,67.2965,126.626,89.177,134.222,65.8421,104.346,69.4118,99.4845,58.0577,110.972,60.0957,68.3371,2.90615,86.8079,48.8587,123.784,67.5899,85.8415,58.4253,57.6175,94.5035,102.577,25.7878,127.194,77.0123,147.724,17.862,147.86,57.7296,135.455,57.7316,129.11,29.2168,114.724,42.7764,83.6523,85.2848,125.982,40.7994,115.534,93.8572,58.0497,7.58527,73.132,28.4699,58.8578,49.0591,69.7513,35.5123,72.4884,45.0758,77.924,86.541,94.3606,45.3229,140.975,29.2393,52.2419
0.02,6.34458,122.751,10.0799,137.322,35.1337,61.8603,99.2512,62.5734,79.4215,63.7987,47.8287,126.25,16.1003,125.39,32.9857,70.9326,2.36354,139.645,36.7515,136.206,22.3841,55.9778,40.4859,82.9007,93.5808,51.5947,39.4772,132.665,23.3151,127.733,7.77798,104.499,24.0149,92.884,25.6676,80.7034,66.0506,110.017,6.77167,105.556,72.8636,141.013,57.8592,78.441,6.21918,82.775,94.9848,75.8592,9.01593,144.122,38.2439,90.5893,76.1851,68.0193,20.7092,119.252,14.6765,92.6658,33.2436,85.7902,59.8818,78.5719,41.6375,50.5325,57.0028,125.961,15.696,52.2576,39.6888,140.057,58.8595,78.6483,87.6878,55.8638,56.6309,124.126,13.0796,119.512,22.2217,99.801,37.2516,140.709,49.3935,138.418,45.72,120.98,94.1411,132.055,29.0065,63.2355,25.5351,143.328,82.8557,80.5066,90.9844,121.722,65.1399,78.8835,21.2636,54.8075,30.4235,88.1269,51.8828,133.412,8.67331,62.6391,26.4385,146.386,95.0518,143.216,84.1004,101.566,72.3328,132.667,71.151,129.233,52.4864,136.838,91.4261,128.639,21.0042,93.3258,69.281,51.5363,6.87628,98.6805,40.3634,52.811,41.7447,117.098,29.4147,85.5791,13.9939,101.278,17.9142,89.6291,67.3047,146.936,58.3095,112.349,63.9089,146.397,67.2965,126.623,89.177,134.219,65.8421,104.343,69.4118,99.4815,58.0577,110.969,60.0957,68.3342,2.90615,86.805,48.8587,123.781,67.5899,85.8385,58.4253,57.6146,94.5035,102.574,25.7878,127.191,77.0123,147.721,17.862,147.857,57.7296,135.452,57.7316,129.107,29.2168,114.721,42.7764,83.6494,85.2848,125.979,40.7994,115.531,93.8572,58.0468,7.58527,73.1291,28.4699,58.8548,49.0591,69.7483,35.5123,72.4855,45.0758,77.9211,86.541,94.3577,45.3229,140.972,29.2393,52.2389
0.03,6.34458,122.747,10.0799,137.318,35.1337,61.8564,99.2512,62.5695,79.4215,63.7947,47.8287,126.246,16.1003,125.386,32.9857,70.9286,2.36354,139.641,36.7515,136.202,22.3841,55.9739,40.4859,82.8968,93.5808,51.5908,39.4772,132.661,23.3151,127.729,7.77798,104.495,24.0149,92.88,25.6676,80.6995,66.0506,110.013,6.77167,105.552,72.8636,141.009,57.8592,78.4371,6.21918,82.7711,94.9848,75.8553,9.01593,144.118,38.2439,90.5853,76.1851,68.0153,20.7092,119.248,14.6765,92.6618,33.2436,85.7863,59.8818,78.568,41.6375,50.5286,57.0028,125.957,15.696,52.2537,39.6888,140.053,58.8595,78.6444,87.6878,55.8599,56.6309,124.122,13.0796,119.508,22.2217,99.7971,37.2516,140.705,49.3935,138.414,45.72,120.976,94.1411,132.051,29.0065,63.2316,25.5351,143.324,82.8557,80.5027,90.9844,121.719,65.1399,78.8796,21.2636,54.8035,30.4235,88.123,51.8828,133.408,8.67331,62.6352,26.4385,146.383,95.0518,143.212,84.1004,101.562,72.3328,132.664,71.151,129.229,52.4864,136.834,91.4261,128.636,21.0042,93.3219,69.281,51.5324,6.87628,98.6766,40.3634,52.8071,41.7447,117.094,29.4147,85.5752,13.9939,101.274,17.9142,89.6252,67.3047,146.932,58.3095,112.345,63.9089,146.393,67.2965,126.619,89.177,134.215,65.8421,104.339,69.4118,99.4776,58.0577,110.965,60.0957,68.3302,2.90615,86.8011,48.8587,123.777,67.5899,85.8346,58.4253,57.6106,94.5035,102.57,25.7878,127.187,77.0123,147.717,17.862,147.853,57.7296,135.448,57.7316,129.103,29.2168,114.718,42.7764,83.6455,85.2848,125.975,40.7994,115.527,93.8572,58.0428,7.58527,73.1251,28.4699,58.8509,49.0591,69.7444,35.5123,72.4815,45.0758,77.9172,86.541,94.3537,45.3229,140.968,29.2393,52.235
0.04,6.34458,122.742,10.0799,137.313,35.1337,61.8515,99.2512,62.5646,79.4215,63.7898,47.8287,126.241,16.1003,125.381,32.9857,70.9237,2.36354,139.636,36.7515,136.197,22.3841,55.969,40.4859,82.8919,93.5808,51.5859,39.4772,132.656,23.3151,127.724,7.77798,104.49,24.0149,92.8751,25.6676,80.6946,66.0506,110.008,6.77167,105.548,72.8636,141.005,57.8592,78.4322,6.21918,82.7662,94.9848,75.8504,9.01593,144.113,38.2439,90.5804,76.1851,68.0104,20.7092,119.243,14.6765,92.6569,33.2436,85.7814,59.8818,78.5631,41.6375,50.5237,57.0028,125.952,15.696,52.2488,39.6888,140.048,58.8595,78.6395,87.6878,55.855,56.6309,124.117,13.0796,119.503,22.2217,99.7922,37.2516,140.7,49.3935,138.409,45.72,120.971,94.1411,132.046,29.0065,63.2267,25.5351,143.319,82.8557,80.4978,90.9844,121.714,65.1399,78.8747,21.2636,54.7986,30.4235,88.1181,51.8828,133.403,8.67331,62.6303,26.4385,146.378,95.0518,143.207,84.1004,101.557,72.3328,132.659,71.151,129.224,52.4864,136.829,91.4261,128.631,21.0042,93.317,69.281,51.5274,6.87628,98.6717,40.3634,52.8022,41.7447,117.089,29.4147,85.5703,13.9939,101.269,17.9142,89.6203,67.3047,146.927,58.3095,112.34,63.9089,146.388,67.2965,126.614,89.177,134.21,65.8421,104.334,69.4118,99.4727,58.0577,110.96,60.0957,68.3253,2.90615,86.7962,48.8587,123.772,67.5899,85.8297,58.4253,57.6057,94.5035,102.565,25.7878,127.182,77.0123,147.712,17.862,147.848,57.7296,135.443,57.7316,129.098,29.2168,114.713,42.7764,83.6406,85.2848,125.971,40.7994,115.522,93.8572,58.0379,7.58527,73.1202,28.4699,58.846,49.0591,69.7395,35.5123,72.4766,45.0758,77.9123,86.541,94.3488,45.3229,140.963,29.2393,52.2301
0.05,6.34458,122.736,10.0799,137.307,35.1337,61.8456,99.2512,62.5587,79.4215,63.7839,47.8287,126.236,16.1003,125.375,32.9857,70.9179,2.36354,139.63,36.7515,136.191,22.3841,55.9631,40.4859,82.886,93.5808,51.58,39.4772,132.65,23.3151,127.718,7.77798,104.485,24.0149,92.8692,25.6676,80.6887,66.0506,110.002,6.77167,105.542,72.8636,140.999,57.8592,78.4263,6.21918,82.7603,94.9848,75.8445,9.01593,144.107,38.2439,90.5745,76.1851,68.0045,20.7092,119.238,14.6765,92.6511,33.2436,85.7755,59.8818,78.5572,41.6375,50.5178,57.0028,125.946,15.696,52.2429,39.6888,140.042,58.8595,78.6336,87.6878,55.8491,56.6309,124.111,13.0796,119.497,22.2217,99.7863,37.2516,140.694,49.3935,138.403,45.72,120.965,94.1411,132.04,29.0065,63.2208,25.5351,143.313,82.8557,80.4919,90.9844,121.708,65.1399,78.8688,21.2636,54.7928,30.4235,88.1122,51.8828,133.397,8.67331,62.6244,26.4385,146.372,95.0518,143.201,84.1004,101.551,72.3328,132.653,71.151,129.218,52.4864,136.823,91.4261,128.625,21.0042,93.3111,69.281,51.5216,6.87628,98.6658,40.3634,52.7963,41.7447,117.083,29.4147,85.5644,13.9939,101.263,17.9142,89.6144,67.3047,146.921,58.3095,112.334,63.9089,146.382,67.2965,126.608,89.177,134.204,65.8421,104.328,69.4118,99.4668,58.0577,110.955,60.0957,68.3195,2.90615,86.7903,48.8587,123.766,67.5899,85.8238,58.4253,57.5998,94.5035,102.559,25.7878,127.177,77.0123,147.706,17.862,147.843,57.7296,135.437,57.7316,129.092,29.2168,114.707,42.7764,83.6347,85.2848,125.965,40.7994,115.517,93.8572,58.0321,7.58527,73.1143,28.4699,58.8401,49.0591,69.7336,35.5123,72.4708,45.0758,77.9064,86.541,94.3429,45.3229,140.958,29.2393,52.2242
0.06,6.34458,122.729,10.0799,137.3,35.1337,61.8388,99.2512,62.5518,79.4215,63.7771,47.8287,126.229,16.1003,125.368,32.9857,70.911,2.36354,139.623,36.7515,136.185,22.3841,55.9562,40.4859,82.8792,93.5808,51.5731,39.4772,132.643,23.3151,127.711,7.77798,104.478,24.0149,92.8624,25.6676,80.6818,66.0506,109.995,6.77167,105.535,72.8636,140.992,57.8592,78.4194,6.21918,82.7534,94.9848,75.8376,9.01593,144.101,38.2439,90.5677,76.1851,67.9977,20.7092,119.231,14.6765,92.6442,33.2436,85.7687,59.8818,78.5503,41.6375,50.511,57.0028,125.939,15.696,52.2361,39.6888,140.035,58.8595,78.6267,87.6878,55.8422,56.6309,124.104,13.0796,119.49,22.2217,99.7795,37.2516,140.687,49.3935,138.397,45.72,120.958,94.1411,132.033,29.0065,63.2139,25.5351,143.306,82.8557,80.485,90.9844,121.701,65.1399,78.8619,21.2636,54.7859,30.4235,88.1053,51.8828,133.39,8.67331,62.6176,26.4385,146.365,95.0518,143.194,84.1004,101.545,72.3328,132.646,71.151,129.212,52.4864,136.816,91.4261,128.618,21.0042,93.3042,69.281,51.5147,6.87628,98.6589,40.3634,52.7894,41.7447,117.076,29.4147,85.5575,13.9939,101.256,17.9142,89.6075,67.3047,146.915,58.3095,112.327,63.9089,146.375,67.2965,126.602,89.177,134.197,65.8421,104.321,69.4118,99.4599,58.0577,110.948,60.0957,68.3126,2.90615,86.7834,48.8587,123.76,67.5899,85.817,58.4253,57.593,94.5035,102.552,25.7878,127.17,77.0123,147.699,17.862,147.836,57.7296,135.431,57.7316,129.085,29.2168,114.7,42.7764,83.6278,85.2848,125.958,40.7994,115.51,93.8572,58.0252,7.58527,73.1075,28.4699,58.8333,49.0591,69.7267,35.5123,72.4639,45.0758,77.8995,86.541,94.3361,45.3229,140.951,29.2393,52.2174
0.07,6.34458,122.721,10.0799,137.293,35.1337,61.8309,99.2512,62.544,79.4215,63.7692,47.8287,126.221,16.1003,125.36,32.9857,70.9031,2.36354,139.615,36.7515,136.177,22.3841,55.9484,40.4859,82.8713,93.5808,51.5653,39.4772,132.635,23.3151,127.704,7.77798,104.47,24.0149,92.8545,25.6676,80.674,66.0506,109.987,6.77167,105.527,72.8636,140.984,57.8592,78.4116,6.21918,82.7456,94.9848,75.8298,9.01593,144.093,38.2439,90.5598,76.1851,67.9898,20.7092,119.223,14.6765,92.6363,33.2436,85.7608,59.8818,78.5425,41.6375,50.5031,57.0028,125.931,15.696,52.2282,39.6888,140.027,58.8595,78.6189,87.6878,55.8344,56.6309,124.096,13.0796,119.482,22.2217,99.7716,37.2516,140.679,49.3935,138.389,45.72,120.951,94.1411,132.025,29.0065,63.2061,25.5351,143.298,82.8557,80.4772,90.9844,121.693,65.1399,78.8541,21.2636,54.778,30.4235,88.0975,51.8828,133.382,8.67331,62.6097,26.4385,146.357,95.0518,143.186,84.1004,101.537,72.3328,132.638,71.151,129.204,52.4864,136.809,91.4261,128.61,21.0042,93.2964,69.281,51.5068,6.87628,98.6511,40.3634,52.7816,41.7447,117.068,29.4147,85.5496,13.9939,101.248,17.9142,89.5997,67.3047,146.907,58.3095,112.319,63.9089,146.367,67.2965,126.594,89.177,134.19,65.8421,104.313,69.4118,99.4521,58.0577,110.94,60.0957,68.3047,2.90615,86.7756,48.8587,123.752,67.5899,85.8091,58.4253,57.5851,94.5035,102.544,25.7878,127.162,77.0123,147.691,17.862,147.828,57.7296,135.423,57.7316,129.077,29.2168,114.692,42.7764,83.62,85.2848,125.95,40.7994,115.502,93.8572,58.0173,7.58527,73.0996,28.4699,58.8254,49.0591,69.7189,35.5123,72.456,45.0758,77.8917,86.541,94.3282,45.3229,140.943,29.2393,52.2095
0.08,6.34458,122.713,10.0799,137.284,35.1337,61.8221,99.2512,62.5352,79.4215,63.7604,47.8287,126.212,16.1003,125.351,32.9857,70.8943,2.36354,139.606,36.7515,136.168,22.3841,55.9395,40.4859,82.8625,93.5808,51.5564,39.4772,132.627,23.3151,127.695,7.77798,104.461,24.0149,92.8457,25.6676,80.6652,66.0506,109.979,6.77167,105.518,72.8636,140.975,57.8592,78.4028,6.21918,82.7367,94.9848,75.821,9.01593,144.084,38.2439,90.551,76.1851,67.981,20.7092,119.214,14.6765,92.6275,33.2436,85.752,59.8818,78.5336,41.6375,50.4943,57.0028,125.923,15.696,52.2194,39.6888,140.018,58.8595,78.61,87.6878,55.8255,56.6309,124.088,13.0796,119.473,22.2217,99.7628,37.2516,140.671,49.3935,138.38,45.72,120.942,94.1411,132.016,29.0065,63.1972,25.5351,143.29,82.8557,80.4683,90.9844,121.684,65.1399,78.8452,21.2636,54.7692,30.4235,88.0886,51.8828,133.373,8.67331,62.6009,26.4385,146.348,95.0518,143.177,84.1004,101.528,72.3328,132.629,71.151,129.195,52.4864,136.8,91.4261,128.601,21.0042,93.2876,69.281,51.498,6.87628,98.6422,40.3634,52.7727,41.7447,117.059,29.4147,85.5408,13.9939,101.24,17.9142,89.5908,67.3047,146.898,58.3095,112.31,63.9089,146.358,67.2965,126.585,89.177,134.181,65.8421,104.305,69.4118,99.4433,58.0577,110.931,60.0957,68.2959,2.90615,86.7667,48.8587,123.743,67.5899,85.8003,58.4253,57.5763,94.5035,102.535,25.7878,127.153,77.0123,147.682,17.862,147.819,57.7296,135.414,57.7316,129.068,29.2168,114.683,42.7764,83.6111,85.2848,125.941,40.7994,115.493,93.8572,58.0085,7.58527,73.0908,28.4699,58.8166,49.0591,69.7101,35.5123,72.4472,45.0758,77.8828,86.541,94.3194,45.3229,140.934,29.2393,52.2007
0.09,6.34458,122.703,10.0799,137.274,35.1337,61.8123,99.2512,62.5253,79.4215,63.7506,47.8287,126.202,16.1003,125.341,32.9857,70.8845,2.36354,139.597,36.7515,136.158,22.3841,55.9297,40.4859,82.8527,93.5808,51.5466,39.4772,132.617,23.3151,127.685,7.77798,104.451,24.0149,92.8359,25.6676,80.6554,66.0506,109.969,6.77167,105.508,72.8636,140.965,57.8592,78.393,6.21918,82.7269,94.9848,75.8112,9.01593,144.074,38.2439,90.5412,76.1851,67.9712,20.7092,119.204,14.6765,92.6177,33.2436,85.7422,59.8818,78.5238,41.6375,50.4845,57.0028,125.913,15.696,52.2096,39.6888,140.009,58.8595,78.6002,87.6878,55.8157,56.6309,124.078,13.0796,119.463,22.2217,99.753,37.2516,140.661,49.3935,138.37,45.72,120.932,94.1411,132.007,29.0065,63.1874,25.5351,143.28,82.8557,80.4585,90.9844,121.674,65.1399,78.8354,21.2636,54.7594,30.4235,88.0788,51.8828,133.364,8.67331,62.5911,26.4385,146.338,95.0518,143.168,84.1004,101.518,72.3328,132.619,71.151,129.185,52.4864,136.79,91.4261,128.591,21.0042,93.2777,69.281,51.4882,6.87628,98.6324,40.3634,52.7629,41.7447,117.05,29.4147,85.531,13.9939,101.23,17.9142,89.581,67.3047,146.888,58.3095,112.301,63.9089,146.348,67.2965,126.575,89.177,134.171,65.8421,104.295,69.4118,99.4335,58.0577,110.921,60.0957,68.2861,2.90615,86.7569,48.8587,123.733,67.5899,85.7905,58.4253,57.5665,94.5035,102.526,25.7878,127.143,77.0123,147.673,17.862,147.809,57.7296,135.404,57.7316,129.059,29.2168,114.673,42.7764,83.6013,85.2848,125.931,40.7994,115.483,93.8572,57.9987,7.58527,73.081,28.4699,58.8068,49.0591,69.7003,35.5123,72.4374,45.0758,77.873,86.541,94.3096,45.3229,140.924,29.2393,52.1909
